input_sentiment	prefix	generated_tweet
negative	pooja luvindia get pay work	pooja luvindia get pay work  pooja luvindia get pay work  pooja luvindia get pay work  pooja luvindia get pay work  poo
negative	weewifie oh know	"weewifie oh know what i mean.  weewifie i mean,  weewifie you can't  weewifie just say  weewifie ""i don't"
negative	extra upset lol get	extra upset lol get your ass out of here you fucking retard  you fucking retard  you fucking retard  you fucking retard  you fucking retard  you fucking retard  you fucking retard
negative	dannyjclayton hahah seriosly talk	"dannyjclayton hahah seriosly talk about this. I'm not sure if you're aware of this, but the reason why the ""dont"" is there is because it's a bit of a misnomer. It's not"
positive	sarmypureevil yes traumatize afternoon	sarmypureevil yes traumatize afternoon  sarmypureevil yes traumatize afternoon  sarmypureevil yes traumatize afternoon  sarmypureevil yes traumatize afternoon  sarmypureevil
negative	beauty shop w mom	beauty shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mom
negative	summer vacation time mean	summer vacation time mean vacation time in the United States is 30.00 minutes.  is the time of day in the United States that begins and ends in the United States and is neither coincidental nor unexpected. For
negative	kkfrae think feel	kkfrae think feel feel feel good feel bad feel stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid
positive	fuck bio summer	fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer
positive	slessard feel really bad b	slessard feel really bad btw  slessard  slessard  slessard  slessard  slessard  slessard  slessard  sless
positive	test twitter mobile sms	test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile
positive	back college tomorrow	back college tomorrow  I'm back from my trip to the University of California, Santa Cruz, to talk about the new book I'm writing about the history of the American Revolution. I'm also going to talk
positive	vbjc oven toast chicken	vbjc oven toast chicken  1/2 cup butter, softened  1/2 cup flour  1/2 cup sugar  1/2 cup milk  1/2 cup butter, softened
negative	la trickkkk beautiful night	la trickkkk beautiful night  la trickkkk beautiful night  La trickkkk beautiful night  La trickkkk beautiful night  La trickkkk beautiful night  La trickkkk beautiful night
positive	karenneves always sit	karenneves always sit in the kitchen and make me a delicious meal. she is a true professional and she is a true friend. she is a true gem.  she is a true gem. she is a true
negative	oooooo butt bigger forget crack	oooooo butt bigger forget cracker  I'm not sure if I should say this, but I'm going to say it anyway.  I'm going to say it anyway.  I'm going to say it
negative	mrsddoubleu think work go	mrsddoubleu think work goin on  mrsddoubleu think work goin on  mrsddoubleu think work goin on  mrsddoubleu think work goin on
negative	want move l	"want move lp to the top of the list?  I'm not sure if you're a member of the ""I'm not sure if you're a member of the ""  "" or ""I"
negative	wow june st	wow june st. louis, i'm so glad you're here. i'm so glad you're here.  i'm so glad you're here.  i'm so glad you're here.
positive	oh god love new	oh god love new york  oh god love new york  oh god love new york  oh god love new york  oh god love new york  oh god love new
negative	showertime alone	showertime alone  showertime alone  showertime alone  showertime alone  showertime alone  showertime alone  showertime alone  shower
negative	want know hot guy walk	want know hot guy walkin on the beach.  I'm a guy.  I'm a guy.  I'm a guy.  I'm a guy.  I'm a guy.
negative	still free mountain dew	still free mountain dew  I'm still free mountain dew.  I'm still free mountain dew.  I'm still free mountain dew.  I'm still free mountain dew.
positive	tikitender bebelestrange yeah sooo fair	tikitender bebelestrange yeah sooo fair enough. i think the only thing that is really different is the way the game is being played.....  The first time I saw a picture of a man in a white shirt
positive	yeye finally entire cd	yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally
positive	gear nyc weekend profile php	gear nyc weekend profile php artisanal food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography gourmet food photography gourmet food photography
positive	rafalor tomorrow better x	rafalor tomorrow better xbox live  I have been playing with the new xbox live version and it is amazing. I have been playing with the new xbox live version and it is amazing.  I have
negative	wake morning torture	wake morning torture  The first thing you'll notice about the new iPhone 6 and iPhone 6 Plus is that they're thinner than the previous generation. The new iPhone 6 Plus is a bit thicker than the previous generation
negative	enjoy depapepe song make relax	enjoy depapepe song make relax  enjoy depapepe song make relax  enjoy depapepe song make relax  enjoy depapepe song make relax  enjoy depapepe song make relax
positive	inbox bill touch laundry pile	inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile
positive	sooooooooooooo hot hot	sooooooooooooo hot hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooo
negative	willou en branle	willou en branle  (1) A small, round, soft, fibrous, fibrous, or tough, tough, tough, tough, tough, tough, tough, tough, tough, tough, tough
negative	know hungry let us	"know hungry let us know what you think  We're looking for a new writer to help us with the next chapter of the series.  The first chapter of the series, ""The Last of the Old Ones"
positive	teddyrised thank already round	teddyrised thank already round up the best of the year's best.  The year's best  The year's best  The year's best  The year's best  The year's best
negative	stuff move hooray finally	stuff move hooray finally happened.  The New York Jets have been a mess for a while.  The team has been in the bottom half of the league in points scored and points allowed for the past three seasons
negative	b reply	"b reply  I'm not sure what the point is.  The point is that the ""no"" is not a ""no""  ""No"" is a ""yes""  """
positive	wtf twitter get block school	wtf twitter get block schoolgirl  I'm not sure what to make of this. I'm not sure what to make of this.  I'm not sure what to make of this. I'm not sure what
negative	miss pothole republic	miss pothole republica  Missouri  Missouri is a state with a lot of roads. It has more than 1,000 miles of roads, and more than half of them are in Missouri. The
