input_sentiment	prefix	generated_tweet
positive	winniedepoohi thank come	winniedepoohi thank come on, you're welcome.  winniedepoohi i'm not a fan of the way you're doing it.  winniedepoohi i'm not
negative	ummm yawn forget bike still	ummm yawn forget bike still in the garage  I'm not sure what happened to the bike, but it's gone.  I'm not sure what happened to the bike, but it's gone.  I
negative	kennycarlile hey fault	kennycarlile hey fault is that i dont have a pc and i cant play it. i have a ps4 and i cant play it. i have tried to use the game and it doesnt work. i have tried to
positive	sit grass outside work catch	sit grass outside work catch a glimpse of the sun on the horizon.  sit on the couch and watch the sun set.  sit on the couch and watch the sun set.  sit on the couch and
negative	kristiew come	kristiew comellias  I'm a big fan of the new MacBook Pro. I've been using it for a few weeks now and I've noticed a few things. First, the battery life is pretty
positive	milko get another mouse	milko get another mousepad  milko get another mousepad  milko get another mousepad  milko get another mousepad  milko get another mousepad  milko get another mouse
positive	iamkhayyam ahh yes	iamkhayyam ahh yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes
positive	send sum mtng note bob	send sum mtng note bob@bob.com  send sum mtng note bob@bob.com  send sum mtng note bob@bob.com  send sum mtng note bob@
negative	mjanofsky last day williston	mjanofsky last day williston  I have been using this product for about a month now and I have been using it daily. I have noticed that it does not leave any residue on my hands and I have noticed that it
positive	like hot humid weather	like hot humid weather  I'm not sure if I should be happy or sad about this. I'm not sure if I should be happy or sad about this.  I'm not sure if I should be
negative	dear nice days	dear nice days,  I'm writing this on a cold, rainy day in the middle of nowhere, and I'm writing this on a cold, rainy day in the middle of nowhere, and I'm writing
positive	cleveland please watch	cleveland please watch this video  CLEVELAND, Ohio -- A man who was arrested after police say he tried to rob a woman at gunpoint in the city's West Side neighborhood is now facing charges.
positive	almost start cry bfast da	almost start cry bfast daemons  almost start cry bfast daemons  almost start cry bfast daemons  almost start cry bfast daemons  almost start cry bfast da
positive	kween noo haha loser	kween noo haha loser  kween noo haha loser  kween noo haha loser  kween noo haha loser  kween noo haha loser  kween noo haha loser
negative	home award breakfast	home award breakfast  The award-winning award-winning award-winning award-winning award-winning award-winning award-winning award-winning award-winning award-winning award-winning award-winning award
negative	vote opinion susan boyle	vote opinion susan boyle  I'm not sure if I've ever been so excited about a movie as I was about this one. I've been a huge fan of the first two films in the series, and I
positive	listen fob songs	listen fob songs  listen fob songs  listen fob songs  listen fob songs  listen fob songs  listen fob songs  listen f
negative	lu lu one part	lu lu one part of the world, the other part of the world, the other part of the world, the other part of the world, the other part of the world, the other part of the world, the
negative	bore rainy sunday	bore rainy sunday morning, i was driving my car and i was driving on the highway, i was driving on the highway, i was driving on the highway, i was driving on the highway, i was driving on
positive	kandilollipop lol damn crush hop	kandilollipop lol damn crush hopefuly  kandilollipop lol damn crush hopefuly  kandilollipop lol damn crush hopefuly  kandilollipop lol damn crush hopef
positive	arrive home get today	arrive home get today's news and updates from the world of sports.  The NFL's Week 4 schedule is out, and it's packed with action. Here's a look at the biggest games, including the biggest
negative	oh condolences	oh condolences to the family of the victim. I have no idea how the police could have missed the car. I was driving home from work and saw the car in the middle of the road. I stopped and
positive	go cousins baptism today good	go cousins baptism today good day friends  go cousins baptism today good day friends  go cousins baptism today good day friends  go cousins baptism today good day friends  go cousins baptism today good day friends
negative	kaleespecial go fuck eyebrows one	kaleespecial go fuck eyebrows one day.  I'm not going to lie, I was a little disappointed when I saw that the new version of the game had a new hairstyle. I thought it was a little too much
negative	richiesosa	richiesosa  join:2002-08-28  Tampa Bay richiesosa Member Re: Comcast's plan to kill netflix.com? I think it's a good idea.
positive	see life everything bloody	"see life everything bloody and bloody  Recent Examples on the Web  The team's new album, ""The Life of Pablo,"" is a collection of songs that are all about the life of Pablo. Justin Sullivan,"
positive	oubad cuz go summer tour	"oubad cuz go summer tour  by  1:00 - 1:30 - The band is back with another album! This time, they're bringing out their new album, ""The Summer Tour"". This is a"
positive	well time fat self	well time fat self-esteem  I'm a fat person. I'm fat. I'm fat. I'm fat. I'm fat. I'm fat. I'm fat. I'm fat. I'm
positive	asian market get	asian market get ready for the new year with a bang!  the new year is here and we are excited to announce that we are opening our doors to the asian market!  we are excited to
positive	wait another month get	"wait another month get ready for another year of amazing content!  This year we're bringing back the ""The Best of the Best"" series, where we highlight the best of the best from the past year."
positive	miss boys	miss boys  by  by  by  by  by  by  by  by  by  by  by  by  by
negative	suareasy awesome	suareasy awesome  I have been using this product for about a year now and I have never had a problem with it. I have been using this product for about a year now and I have never had a
negative	mads go swim later	mads go swim later today. i got a call from my mom saying i was late to work and she wanted to know if i was ok. i wasnt ok. she said i had to go to the hospital.
negative	adubbbbbbz oh shut ny good	adubbbbbbz oh shut ny good ny bbz ny bbz ny bbz ny bbz ny bbz ny bbz ny bbz ny bbz
positive	life come reset button even	life come reset button even though i dont know what it is  I'm a woman, and I'm a woman.  I'm a woman, and I'm a woman.  I'm a woman,
positive	johncmayer hang link	johncmayer hang link  johncmayer hang link  johncmayer hang link  johncmayer hang link  johncmayer hang link  johncmayer hang link  johncmayer
negative	sophisticate whaaaaaat undersit	sophisticate whaaaaaat undersit?  I'm not saying that you should be ashamed of yourself for being a whiny bitch. I'm saying that you should be ashamed of yourself for being a whiny bitch.
negative	richard feynman last journey	richard feynman last journeyed to the Soviet Union in the early 1980s, and was a key figure in the development of the Soviet Union's first-ever national security policy.  In the early 1980s, Fe
negative	mhuynh many goin	mhuynh many goin to jail for this shit.  I'm not saying that the police are wrong, but they're not doing anything about it.  I'm not saying that the police are wrong, but
negative	new poem rain rain	new poem rain rain  I'm not sure what I'm doing  I'm not sure what I'm doing  I'm not sure what I'm doing  I'm not sure what I'm doing
negative	ankitbathija oiye sahib	ankitbathija oiye sahib  I have been using the ATH-M50 for about a year now. I have been using it for about 2 months now. I have been using it for about 2 months now.
negative	days fly like nothing	days fly like nothing ever has before  I'm not sure what to say.  I'm not sure what to say.  I'm not sure what to say.  I'm not sure what
positive	rakundo send spymaster invite	rakundo send spymaster invite spymaster send spymaster invite spymaster send spymaster invite spymaster send spymaster send spymaster invite spymaster send spymaster invite spymaster send
negative	feel well	feel well, I'm sure you've heard that before.  I've been thinking about this question for a while now. I've been thinking about it for a while now. I've been thinking about
negative	soak freeze phish	soak freeze phish  soak freeze phish  soak freeze phish  soak freeze phish  soak freeze phish  soak freeze phish  soak freeze
positive	miiru fail sleep take tomorrow	miiru fail sleep take tomorrow off  miiru fail sleep take tomorrow off  miiru fail sleep take tomorrow off  miiru fail sleep take tomorrow off  miiru fail sleep take tomorrow off  mi
negative	home bleck	home bleck  bleck  Bleck is a simple, fast, and flexible file system. It is designed to be used as a file system in a distributed system.  Bleck is designed
positive	wish could teach	wish could teach me how to make a better game  I'm a huge fan of the genre, and I'm always looking for new ways to make games. I'm also a huge fan of the genre,
positive	downtown pretty lame tonight	"downtown pretty lame tonight.  i'm not a fan of the new ""downtown"" theme, but it's a nice change from the old ""downtown"" theme.  i'm not a fan of"
negative	xlucyloox likewise annoy	xlucyloox likewise annoys me because it's a bit of a mess. It's not really a problem, but it's annoying. It's not that it's bad, but it's not that it's good either
positive	vain fortune think	vain fortune think you can get away with it?  I'm not sure.  I'm not sure.  I'm not sure.  I'm not sure.  I'm not
positive	negnetsolutions xrefresh linux ignore	negnetsolutions xrefresh linux ignore  This is a simple script that will update the nego settings to the latest version of the kernel.  It will also update the kernel's config file to reflect the new settings.
negative	tutor undead tonight	tutor undead tonight at 7pm.  The show will be streamed on the official Twitch channel.  The show will be streamed on the official Twitch channel.  The show will be streamed on the official
