input_sentiment	prefix	generated_tweet
negative	shawnrrobinson good night shawn	shawnrrobinson good night shawnrrobinson good night shawnrrobinson good night shawnrrobinson good night shawnrrobinson good night shawnrrobinson good night shawnrrobinson good night
negative	wake morning torture	wake morning torture  The first thing you'll notice about the new iPhone 6 and iPhone 6 Plus is that they're thinner than the previous generation. The new iPhone 6 Plus is a bit thicker than the previous generation
negative	plan set sunday	plan set sunday, june 28th, 2015  I'm going to be doing a plan set on sunday, june 28th, 2015. I'm going to be doing a plan set on sund
positive	karenneves always sit	karenneves always sit in the kitchen and make me a delicious meal. she is a true professional and she is a true friend. she is a true gem.  she is a true gem. she is a true
negative	stuff move hooray finally	stuff move hooray finally happened.  The New York Jets have been a mess for a while.  The team has been in the bottom half of the league in points scored and points allowed for the past three seasons
negative	wow june st	wow june st. louis, i'm so glad you're here. i'm so glad you're here.  i'm so glad you're here.  i'm so glad you're here.
positive	mcscribe bro aunty family	"mcscribe bro aunty family  I am a big fan of the show ""Family Feud"" and I have to say that I really enjoyed it. I think it is one of the best shows on television and I think"
negative	international day hudson	international day hudson  international day hudson  international day hudson  international day hudson  international day hudson  international day hudson  international day h
positive	beckym yayyy anyway sweetie must	beckym yayyy anyway sweetie must be so happy to be here! i was in the middle of the day and i was just about to go to the bathroom when i saw you and your cute little face. i was so excited to
positive	shit weather continue	shit weather continue to be the most important thing in the world.  I have a lot of friends who are very happy with their lives.  I have a lot of friends who are very happy with their
positive	tarynvonfabu giggle think	tarynvonfabu giggle think i'm going to be a good girl for you.  tarynvonfabu giggle i know.  tarynvonfabu giggle i know.  tarynvon
negative	eric dane hey dr sloan	eric dane hey dr sloan, i'm not sure if you're aware of this but i'm a big fan of your work. i'm not sure if you're aware of this but i'm a big fan of your work
positive	docs order eat	docs order eaters  The first time I saw this, I was a little confused. I was a little surprised that it was so good. I was also a little surprised that it was so good. I
positive	maaan great would ta see	maaan great would ta see this. I have a few of these and I have to say, I am very impressed with this product. I have been using this for about a year now and I have to say, I have
negative	head back bath miss	head back bath mississauga  head back bath mississauga  head back bath mississauga  head back bath mississauga  head back bath mississauga  head back bath miss
positive	chrislawer read course wonder	chrislawer read course wonder  chrislawer read course wonder  chrislawer read course wonder  chrislawer read course wonder  chrislawer read course wonder  chris
negative	make da biggest mistake	make da biggest mistake of my life.  I was in the middle of a conversation with a friend of mine, and I was trying to explain to him that I was a feminist. He was confused. He asked
positive	rafalor tomorrow better x	rafalor tomorrow better xbox live  I have been playing with the new xbox live version and it is amazing. I have been playing with the new xbox live version and it is amazing.  I have
negative	husband listen muse	husband listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse listen muse
positive	tracecyrus hey trace	tracecyrus hey trace,  I'm a student at the University of California, Berkeley. I am a member of the Black Student Union (BSU) and I am a member of the Black Student Alliance (B
negative	totally miss home town want	totally miss home town want to go to the beach and see the sunset  I'm going to go to the beach and see the sunset  I'm going to go to the beach and see the sunset  I
positive	drakerock say anything	drakerock say anything about it.  I have been using this for about a year now and I have to say that I have never been happier with my purchase. I have used it for a variety of purposes and
negative	wish could go	wish could go back to the old days of the old days of the old days of the old days of the old days of the old days of the old days of the old days of the old days of the old
positive	first day twitter	first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter
positive	test twitter mobile sms	test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile sms  test twitter mobile
positive	go find tink something	go find tink something  I'm not a very good at-home-dweller. I have a lot of things I love about life. I love life. I love life. I love life. I
negative	back filthy dukes	back filthy dukes of hart  back filthy dukes of hart  back filthy dukes of hart  back filthy dukes of hart  back dirty dukes of hart
negative	seem stop cough run	seem stop cough run cough cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough
positive	ianj quite like aftershave	ianj quite like aftershave. i have been using it for a while now and i have to say that it is the best aftershave i have ever used. it is so smooth and it is so good. i have
negative	quiet road train	quiet road train station  The quiet road train station is located on the outskirts of the city of Krakow, in the heart of the Polish capital. It is a small, modern, modernist building,
negative	waytobe measure control tool effective	waytobe measure control tool effective  I have been using the waytobe measure control tool for a while now. It is a great tool for measuring the amount of time it takes to complete a task. It is also a
positive	inbox bill touch laundry pile	inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile  inbox bill touch laundry pile
positive	justgis good night	justgis good night  justgis good night  justgis good night  justgis good night  justgis good night  justgis good night  justgis
positive	brizduzit haha wuld hide	brizduzit haha wuld hide it in my closet lol  I'm not sure if I'm being a little too serious or not. I'm not sure if I'm being a little too serious or not.  I
positive	oh god love new	oh god love new york  oh god love new york  oh god love new york  oh god love new york  oh god love new york  oh god love new
negative	thing one fell bed	thing one fell bed  I'm not sure if this is a joke or not, but I'm going to go out on a limb and say that this is a joke.  I'm not sure if this
negative	athlone th nice	athlone th nice guy  I'm not sure if this is a good idea, but I'm going to try.  I'm not sure if this is a good idea, but I'm going to try
negative	skadworldwide really want go	skadworldwide really want goons to be able to kill us all.  I'm not saying they're going to do it, but they're going to do it.  I'm not saying they're going to
negative	saw kyle burn twin local	saw kyle burn twin locales in the process  The first time I saw the movie, I thought it was a bad movie. I thought it was a bad movie because it was so bad. I thought it was a
positive	harthanson hi emily	harthanson hi emily  harthanson hi emily  harthanson hi emily  harthanson hi emily  harthanson hi emily  harthanson hi emily
positive	oridusartic oops okeh version	oridusartic oops okeh version  oridusartic oops version  oridusartic oops version  oridusartic oops version  oridusartic oops version
negative	think get sick feel	think get sick feel sick think get sick feel sick think get sick think get sick think get sick think get sick think get sick think get sick think get sick think get sick think get sick think get sick think get sick think
negative	mrsddoubleu think work go	mrsddoubleu think work goin on  mrsddoubleu think work goin on  mrsddoubleu think work goin on  mrsddoubleu think work goin on
positive	nadavmelnick talk ya soon	nadavmelnick talk ya soon  I'm not sure what the point of this is. I'm not sure what the point of this is. I'm not sure what the point of this is. I'm not sure what
negative	besties ddlovato twitpic	besties ddlovato twitpic  I'm not sure if this is a joke or not, but I'm going to say it anyway.  The New York Times has a story about a new study that shows that the
positive	djdatz nice put name twitter	djdatz nice put name twitter  djdatz nice put name twitter  djdatz nice put name twitter  djdatz nice put name twitter  djdatz nice put name twitter  djdat
negative	la trickkkk beautiful night	la trickkkk beautiful night  la trickkkk beautiful night  La trickkkk beautiful night  La trickkkk beautiful night  La trickkkk beautiful night  La trickkkk beautiful night
negative	morning historic georgia theater catch	morning historic georgia theater catch the sun on the way to the theater.  The historic downtown Georgia Georgia Tech campus is a place of great history and great architecture. The campus is home to Georgia Tech, the nation's first
positive	teddyrised thank already round	teddyrised thank already round up the best of the year's best.  The year's best  The year's best  The year's best  The year's best  The year's best
negative	novak see come	"novak see come to mind.  I'm not sure what you mean by ""come to mind.""  I'm not sure what you mean by ""come to mind.""  I'm not sure what"
negative	extra upset lol get	extra upset lol get your ass out of here you fucking retard  you fucking retard  you fucking retard  you fucking retard  you fucking retard  you fucking retard  you fucking retard
positive	eemilymmay lucky forensic exam	eemilymmay lucky forensic examiners who have been awarded the highest award in the world.  The award is given to those who have been awarded the highest award in the world.  The award is given to those who
negative	radiateartistry yes much better	radiateartistry yes much better than the original.  radiateartistry yes I like the new one.  radiateartistry yes I like the new one.  radiateartistry yes I like the
negative	whimper nearly hours cliff itv	whimper nearly hours cliff itvahh  I'm not sure if this is a joke or not, but I'm going to go ahead and say that this is the most annoying thing I've ever heard in my entire life
positive	flishflash nope another weeks	"flishflash nope another weeks update. i have been working on a new game called ""flishflash"" i am a french guy who loves to play games and i love to play games with friends. i love to play games"
